kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
8621348,K00461.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,11.34436822,3.465e-05,-3.465e-05,172.84392,0.00249,-0.00249,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h22m07.71s,+44d46m30.4s,14.410,
3941219,K05024.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,282.159571,0.00801,-0.00801,259.9132,0.0209,-0.0209,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h09m37.43s,+39d01m15.2s,10.826,
3953106,K05025.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,6.58729511,7.266e-05,-7.266e-05,133.3652,0.0132,-0.0132,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h24m43.14s,+39d05m58.7s,14.035,
3953212,K05026.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,459.23193,0.01418,-0.01418,192.7716,0.0192,-0.0192,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h24m50.80s,+39d05m35.5s,13.469,
3955444,K05027.01,,CANDIDATE,CANDIDATE,,0,0,0,0,62.312419,0.001246,-0.001246,146.119,0.014,-0.014,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h27m17.87s,+39d00m22.2s,13.172,
3962728,K05028.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,25.9493253,0.0005851,-0.0005851,155.024,0.0147,-0.0147,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h34m46.20s,+39d01m19.7s,15.742,
3965326,K05029.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,212.76701,0.01386,-0.01386,167.485,0.0613,-0.0613,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h37m21.55s,+39d04m24.0s,12.045,
3968809,K05030.01,,CANDIDATE,CANDIDATE,,0,0,0,0,411.8969,0.01427,-0.01427,379.0087,0.0151,-0.0151,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h40m45.29s,+39d01m07.1s,14.452,
3970397,K05031.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,34.33339948,,,152.0693144,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h42m03.07s,+39d05m18.6s,12.152,
3973549,K05032.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,1.389947459,5.22e-07,-5.22e-07,132.266549,0.000317,-0.000317,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h44m24.87s,+39d03m22.4s,14.293,
3974928,K05033.01,,CANDIDATE,CANDIDATE,,0,0,0,0,127.671711,0.00219,-0.00219,227.0906,0.0123,-0.0123,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h45m25.91s,+39d04m42.9s,13.832,
8773869,K00462.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,1.576341127,2.21e-06,-2.21e-06,170.88145,0.00116,-0.00116,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h53m41.01s,+44d57m02.9s,14.111,
6608090,K05303.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,438.81524,0.03031,-0.03031,307.9493,0.0267,-0.0267,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h29m38.68s,+42d02m22.1s,13.589,
6611779,K05304.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,206.309658,0.004317,-0.004317,231.818,0.0127,-0.0127,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h33m52.92s,+42d05m47.4s,12.351,
6612411,K05305.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,8.46184728,6.275e-05,-6.275e-05,134.13323,0.00631,-0.00631,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h34m34.72s,+42d02m00.6s,12.509,
6612973,K05306.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,681.01756,0.01934,-0.01934,136.3997,0.0241,-0.0241,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h35m13.15s,+42d01m33.6s,12.119,
6615600,K05307.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,2.19509634,1.424e-05,-1.424e-05,132.74891,0.00615,-0.00615,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h38m02.78s,+42d05m24.5s,15.933,
6634112,K05308.01,,CANDIDATE,CANDIDATE,,0,0,0,0,9.942228056,6.87e-07,-6.87e-07,133.8474942,5.7e-05,-5.7e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h54m34.20s,+42d05m34.2s,14.099,
6635813,K05309.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,141.00582791,,,135.4379543,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h55m55.77s,+42d04m57.4s,14.941,
6675757,K05310.01,,CANDIDATE,CANDIDATE,,0,0,0,0,22.2903562,0.0002366,-0.0002366,152.37929,0.00818,-0.00818,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h06m07.06s,+42d10m03.0s,13.993,
6677415,K05311.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,73.9239955,0.0009436,-0.0009436,168.2132,0.0124,-0.0124,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h08m50.70s,+42d06m27.8s,15.959,
11255761,K00482.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,4.99270186,1.125e-05,-1.125e-05,169.55323,0.00189,-0.00189,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h47m14.14s,+48d57m55.4s,14.917,
6681473,K05312.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,396.048721,0.006433,-0.006433,471.22802,0.00819,-0.00819,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h14m54.58s,+42d07m17.2s,12.992,
6688318,K05313.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,326.370361,0.005347,-0.005347,190.3324,0.0122,-0.0122,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h23m22.07s,+42d10m59.3s,10.963,
6690523,K05314.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,148.666527,0.002936,-0.002936,156.8241,0.0178,-0.0178,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h26m05.98s,+42d10m11.8s,13.697,
6692742,K05315.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,163.104677,0.003791,-0.003791,140.3163,0.0231,-0.0231,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h28m50.04s,+42d09m31.0s,15.201,
6695801,K05316.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,1,1.10656965,1.42e-05,-1.42e-05,132.3665,0.014,-0.014,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h32m20.38s,+42d09m02.0s,14.582,
