star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 63253 A,HIP 63253 A,,GJ 490 A,2MASS J12574030+3513306,1,0,0,0,0,0,0,12h57m40.45s,+35d13m31.5s,19.26,1.23,-1.09,10.570,0.010,G,1.420,0.010,G,M0Vvar,0.070,0.160,V-K
HIP 63257,HIP 63257,HD 112575,GJ 489,2MASS J12574396-1427486,1,0,0,0,0,0,0,12h57m44.17s,-14d27m48.8s,24.03,1.00,-0.92,9.130,0.010,Koen,1.120,0.010,Koen,K4V,0.180,0.100,V-K
HIP 63366,HIP 63366,HD 112758,GJ 491 A,2MASS J12590162-0950029 A,1,0,0,0,0,0,0,12h59m02.05s,-09d50m04.4s,20.89,0.43,-0.41,7.590,0.010,Koen,0.800,0.010,Koen,K0V,0.430,0.060,V-K
HIP 63406,HIP 63406,HD 112914,,2MASS J12593278+4159126,1,0,0,0,0,0,0,12h59m32.97s,+41d59m10.8s,25.18,0.78,-0.73,8.610,0.020,VT,0.940,0.020,G,G9V,0.270,0.090,V-K
HIP 63467,HIP 63467,HD 112943,GJ 493,2MASS J13001704-0242172,1,0,0,0,0,0,0,13h00m17.47s,-02d42m17.3s,26.39,1.10,-1.02,9.780,0.000,G,1.190,0.000,G,K4/5V,0.140,0.100,V-K
HIP 63480,HIP 63480,,,2MASS J13002579-3436243,1,0,0,0,0,0,0,13h00m25.84s,-34d36m25.0s,19.74,0.82,-0.76,10.630,0.010,Koen,1.460,0.010,Koen,Mp,0.060,0.130,V-K
HIP 63503 A,HIP 63503 A,HD 113139,,2MASS J13004371+5621588 A,1,0,0,0,0,0,0,13h00m43.59s,+56d21m58.8s,25.45,0.26,-0.25,4.930,0.010,G,0.370,0.010,G,F2V,5.790,0.040,V-K
Ross 458,HIP 63510,,GJ 494,2MASS J13004666+1222325,1,0,0,0,0,0,1,13h00m46.95s,+12d22m32.7s,11.69,0.24,-0.23,9.760,0.000,G,1.450,0.000,G,M2,0.060,0.100,V-K
HIP 63550,HIP 63550,,GJ 3759,2MASS J13011965-6311422,1,0,0,0,0,0,0,13h01m20.15s,-63d11m38.6s,16.97,0.71,-0.65,10.930,0.010,Koen,1.510,0.010,Koen,,0.040,0.140,V-K
HIP 63613,HIP 63613,HD 112985,,2MASS J13021624-7132554,1,1,0,0,0,0,0,13h02m15.78s,-71d32m55.7s,27.87,0.28,-0.28,3.600,0.020,VT,1.190,0.020,BVT-Red,K2III,47.110,0.110,B-V
HIP 63618,HIP 63618,HD 113194,,2MASS J13022070-2647132,1,0,0,0,0,0,0,13h02m20.79s,-26d47m11.8s,17.81,0.36,-0.35,8.350,0.010,Koen,1.220,0.010,Koen,K4V,0.250,0.060,V-K
HIP 63721,HIP 63721,HD 113447,,2MASS J13032906+2547478,1,0,0,0,0,0,0,13h03m28.67s,+25d47m49.6s,4.62,1.62,-0.95,8.750,0.010,G,0.460,0.020,G,F3V,0.010,0.670,V-K
HIP 63738 A,HIP 63738 A,HD 113415 A,GJ 496 A,2MASS J13034607-2035001 A,1,0,0,0,0,0,0,13h03m46.03s,-20d35m00.6s,28.21,0.87,-0.82,5.580,0.000,G,0.550,0.000,G,F7V,4.070,0.060,V-K
HIP 63742,HIP 63742,HD 113449,,2MASS J13034967-0509423,1,0,0,0,0,0,0,13h03m49.77s,-05d09m40.6s,21.69,0.44,-0.43,7.690,0.000,G,0.850,0.000,G,K1V,0.430,0.050,V-K
HIP 63762,HIP 63762,HD 115675,,2MASS J13040719+8706554,1,0,0,0,0,0,0,13h04m08.21s,+87d06m54.0s,24.74,0.50,-0.49,8.810,0.030,VT,1.100,0.030,BVT-Red,K0,0.250,0.070,V-K
HD 113538,HIP 63833,HD 113538,GJ 496.1,2MASS J13045745-5226349,1,0,0,0,0,0,2,13h04m58.23s,-52d26m27.6s,15.87,0.32,-0.31,9.060,0.010,Koen,1.380,0.010,Koen,K5/M0V,0.120,0.060,V-K
HIP 63882 A,HIP 63882 A,,GJ 3760,2MASS J13052985+3708107 A,1,0,0,0,0,0,0,13h05m30.10s,+37d08m12.4s,24.69,3.69,-2.84,11.610,0.340,VT,1.640,0.080,G,M4,0.050,0.740,V-K
HIP 63894,HIP 63894,HD 113827,GJ 498,2MASS J13054140+4928189,1,0,0,0,0,0,0,13h05m41.35s,+49d28m17.7s,22.37,0.69,-0.65,9.260,0.040,VT,1.170,0.000,G,K0,0.160,0.110,V-K
HIP 63942 A,HIP 63942 A,,GJ 499 A,2MASS J13061537+2043444 A,1,0,0,0,0,0,0,13h06m15.43s,+20d43m44.4s,18.80,0.58,-0.55,9.400,0.010,Koen,1.320,0.010,Koen,M0,0.120,0.090,V-K
HIP 64048,HIP 64048,,GJ 9427,2MASS J13073508+3424060,1,0,0,0,0,0,0,13h07m35.16s,+34d24m06.0s,24.11,1.00,-0.93,9.290,0.050,VT,1.180,0.000,G,K3III,0.170,0.140,V-K
HIP 64113,HIP 64113,,GJ 9428,2MASS J13082474+1658189,1,0,0,0,0,0,0,13h08m24.81s,+16d58m19.2s,25.30,2.20,-1.87,11.830,0.190,HIPcat,1.580,0.080,G,M0,0.040,0.420,V-K
HIP 64150,HIP 64150,HD 114174,GJ 9429,2MASS J13085103+0512259,1,0,0,0,0,0,0,13h08m50.97s,+05d12m31.9s,26.13,0.26,-0.26,6.770,0.020,VT,0.670,0.010,G,G5IV,1.210,0.060,V-K
HIP 64180,HIP 64180,,,2MASS J13091376-6805332,1,0,0,0,0,0,0,13h09m13.60s,-68d05m33.9s,28.10,1.79,-1.59,10.690,0.150,VT,1.140,0.150,BVT-Red,M0,0.080,0.320,V-K
HIP 64219,HIP 64219,HD 114260,GJ 500,2MASS J13094254-2211325,1,0,0,0,0,0,0,13h09m42.46s,-22d11m30.4s,27.34,0.56,-0.54,7.360,0.010,G,0.720,0.020,G,G6V,0.810,0.070,V-K
HIP 64241,HIP 64241,HD 114378,GJ 501 A,2MASS J13095936+1731456 A,1,1,0,0,0,0,0,13h09m59.55s,+17d31m44.8s,17.83,0.36,-0.35,4.320,0.010,G,0.460,0.010,G,F5V,5.060,0.060,V-K
HIP 64262,HIP 64262,,,2MASS J13101698+0932097,1,0,0,0,0,0,0,13h10m16.87s,+09d32m11.3s,26.82,1.12,-1.03,9.260,0.050,VT,1.020,0.020,G,K5,0.190,0.150,V-K
HD 114386,HIP 64295,HD 114386,,2MASS J13103983-3503168,1,0,0,0,0,1,1,13h10m39.92s,-35d03m14.4s,28.89,0.89,-0.84,8.730,0.000,G,0.980,0.000,G,K3V,0.320,0.080,V-K
HIP 64394,HIP 64394,HD 114710,GJ 502,2MASS J13115238+2752411,1,1,1,0,0,1,0,13h11m52.92s,+27d52m33.7s,9.13,,,4.240,0.020,VT,0.570,0.010,G,G0V,1.480,0.060,V-K
HD 114613,HIP 64408,HD 114613,GJ 501.2,2MASS J13120320-3748110,1,1,0,0,0,1,1,13h12m03.47s,-37d48m11.3s,20.67,0.21,-0.20,4.840,0.020,VT-G,0.700,0.020,BVT-G-Red,G3V,4.480,0.060,V-K
HD 114783,HIP 64457,HD 114783,GJ 3769,2MASS J13124377-0215540,1,0,0,0,0,1,2,13h12m43.87s,-02d15m54.2s,20.50,0.21,-0.20,7.550,0.010,Koen,0.920,0.010,Koen,K1V,0.420,0.050,V-K
HIP 64475,HIP 64475,HD 114747,,2MASS J13125431-3042423,1,0,0,0,0,0,0,13h12m54.44s,-30d42m43.7s,26.82,0.55,-0.53,8.050,0.030,VT,0.920,0.000,G,K1IV/V,0.450,0.070,V-K
HIP 64532,HIP 64532,HD 115043,GJ 503.2,2MASS J13133699+5642298,1,0,0,0,0,0,0,13h13m36.89s,+56d42m29.9s,25.30,0.26,-0.25,6.810,0.020,VT,0.600,0.000,G,G1V,1.070,0.050,V-K
HIP 64550,HIP 64550,HD 114853,,2MASS J13135221-4511090,1,0,0,0,0,0,0,13h13m52.32s,-45d11m07.9s,24.42,0.25,-0.24,6.930,0.000,G,0.640,0.000,G,G2V,0.920,0.040,V-K
HIP 64583,HIP 64583,HD 114837,GJ 503 A,2MASS J13141513-5906114 A,1,1,0,0,0,0,0,13h14m15.43s,-59d06m10.3s,18.20,0.18,-0.18,4.910,0.020,VT,0.470,0.020,BVT-G-Blue,F5V,3.130,0.060,V-K
HIP 64690,HIP 64690,HD 113283,,2MASS J13152666-8733386,1,0,0,0,0,0,0,13h15m29.48s,-87d33m37.1s,24.57,0.25,-0.24,7.140,0.010,Koen,0.700,0.010,Koen,G3/5V,0.810,0.050,V-K
GJ 504,HIP 64792,HD 115383,GJ 504,2MASS J13164653+0925269,1,0,0,0,0,1,1,13h16m46.71s,+09d25m25.3s,17.56,,,5.180,0.020,VT,0.590,0.010,G,G0Vs,2.290,0.060,V-K
HIP 64797 A,HIP 64797 A,HD 115404,GJ 505 A,2MASS J13165106+1701021,1,0,0,0,0,0,0,13h16m50.67s,+17d01m04.1s,11.07,0.11,-0.11,6.560,0.020,VT,0.930,0.000,G,K2V,0.320,0.110,B-V
HIP 64880,HIP 64880,,GJ 505 A,2MASS J13175839+3617574,1,0,0,0,0,0,0,13h17m58.45s,+36d17m59.8s,21.56,0.90,-0.83,11.280,0.000,G,1.360,0.010,G,M2V:,0.040,0.140,V-K
HIP 64895,HIP 64895,,,2MASS J13180591-1446477,1,0,0,0,0,0,0,13h18m06.07s,-14d46m46.0s,27.63,2.08,-1.81,10.880,0.000,G,1.340,0.010,G,K6,0.070,0.150,V-K
61 Vir,HIP 64924,HD 115617,GJ 506,2MASS J13182443-1818387,1,1,1,0,1,1,3,13h18m24.97s,-18d18m31.0s,8.56,,,4.740,0.000,G,0.710,0.010,G,G5V,0.870,0.100,B-V
