kelt_sourceid,kelt_field,kelt_orientation,proc_type,kelt_proc_version,ra,dec,kelt_mag,obsstart,obsstop,bjdstart,bjdstop,mean,stddevwrtmean,median,stddevwrtmedian,npts,n5sigma,f5sigma,medabsdev,chisquared,range595,minvalue,maxvalue
KELT_N02_lc_060222_V01_east,N02,west,tfa,V01,21.53492,34.57909,10.340,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.360834,0.014574,10.359190,0.014667,593,0,0.000000,0.006900,448.986895,0.044930,10.329340,10.429640
KELT_N02_lc_070772_V01_east,N02,east,tfa,V01,29.42658,37.66723,10.680,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.695159,0.007939,10.694050,0.008017,1757,7,0.003984,0.003670,145.920920,0.023340,10.672900,10.742500
KELT_N02_lc_070772_V01_east,N02,west,tfa,V01,29.42658,37.66723,10.603,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.613422,0.013573,10.611495,0.013709,590,5,0.008475,0.006795,321.765239,0.037380,10.585990,10.696390
KELT_N02_lc_070813_V01_east,N02,east,tfa,V01,23.19614,35.84226,10.292,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.304489,0.007925,10.303550,0.007981,1764,3,0.001701,0.004060,229.770474,0.023890,10.269600,10.358450
KELT_N02_lc_070813_V01_east,N02,west,tfa,V01,23.19614,35.84226,10.357,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.376413,0.014813,10.374390,0.014951,591,4,0.006768,0.007300,474.257528,0.044940,10.342730,10.465970
KELT_N02_lc_070837_V01_east,N02,west,tfa,V01,34.46851,40.55021,10.918,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.917683,0.008557,10.916840,0.008599,597,6,0.010050,0.003490,93.790377,0.020700,10.869940,10.975590
KELT_N02_lc_049662_V01_east,N02,east,tfa,V01,21.94488,40.33540,10.861,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.877575,0.015582,10.875110,0.015776,1746,11,0.006300,0.007090,320.409962,0.044540,10.847710,10.986660
KELT_N02_lc_049662_V01_east,N02,west,tfa,V01,21.94488,40.33540,10.894,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.902095,0.009514,10.900555,0.009638,602,3,0.004983,0.004465,110.786324,0.024380,10.873960,10.964770
KELT_N02_lc_054315_V01_east,N02,east,tfa,V01,35.01309,32.31659,10.650,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.662864,0.008366,10.662180,0.008394,1767,9,0.005093,0.004260,171.972221,0.023970,10.613930,10.713990
KELT_N02_lc_054315_V01_east,N02,west,tfa,V01,35.01309,32.31659,10.772,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.781328,0.011369,10.780180,0.011427,598,0,0.000000,0.006755,197.588219,0.036970,10.757810,10.831740
KELT_N02_lc_062957_V01_east,N02,east,tfa,V01,19.31879,39.48022,10.895,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.903902,0.017071,10.901250,0.017276,1756,11,0.006264,0.007615,398.830471,0.050450,10.856440,11.016670
KELT_N02_lc_062957_V01_east,N02,west,tfa,V01,19.31879,39.48022,10.997,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.995076,0.007013,10.995295,0.007017,598,3,0.005017,0.003650,39.196352,0.019650,10.938250,11.018530
KELT_N02_lc_058234_V01_east,N02,east,tfa,V01,25.66970,38.51593,10.936,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.947265,0.011512,10.945965,0.011585,1762,8,0.004540,0.005740,200.025648,0.032010,10.899870,11.019690
KELT_N02_lc_058234_V01_east,N02,west,tfa,V01,25.66970,38.51593,10.959,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.958031,0.011161,10.957480,0.011175,595,1,0.001681,0.006560,117.419844,0.034460,10.930580,11.019390
KELT_N02_lc_060509_V01_east,N02,east,tfa,V01,21.92586,31.96492,10.615,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.622199,0.013683,10.620435,0.013797,1778,13,0.007312,0.006185,387.620349,0.035460,10.568230,10.748290
KELT_N02_lc_060509_V01_east,N02,west,tfa,V01,21.92586,31.96492,10.565,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.583091,0.013555,10.581640,0.013633,595,3,0.005042,0.007400,437.684312,0.039690,10.548460,10.680390
