star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
Fomalhaut,HIP 113368,HD 216956,GJ 881,2MASS J22573901-2937193,1,1,1,0,1,0,0,22h57m38.83s,-29d37m18.6s,7.70,,,1.230,0.010,VT,0.140,0.010,BVT-Blue,A3V,16.470,0.040,V-K
HD 217107,HIP 113421,HD 217107,,2MASS J22581556-0223432,1,1,1,0,0,1,2,22h58m15.54s,-02d23m43.2s,19.86,0.20,-0.20,6.160,0.020,VT,0.740,0.010,G,G8IV/V,1.240,0.040,V-K
HIP 113576,HIP 113576,HD 217357,GJ 884,2MASS J23001607-2231276,1,0,0,1,0,0,0,23h00m16.69s,-22d31m28.2s,8.22,0.08,-0.08,7.870,0.010,Koen,1.380,0.010,Koen,K5/M0V,0.100,0.030,V-K
HIP 114570,HIP 114570,HD 219080,GJ 891.1,2MASS J23123299+4924222,1,1,0,0,0,0,0,23h12m32.92s,+49d24m21.5s,24.59,0.25,-0.24,4.520,0.020,VT,0.300,0.010,G,F0V,7.720,0.060,V-K
HD 219134,HIP 114622,HD 219134,GJ 892,2MASS J23131692+5710059,1,1,1,1,1,1,6,23h13m14.74s,+57d10m03.5s,6.54,0.07,-0.06,5.570,0.000,G,1.000,0.000,G,K3.0V,0.310,0.100,B-V
HD 219077,HIP 114699,HD 219077,,2MASS J23140661-6242002,1,1,0,0,0,1,1,23h14m05.98s,-62d41m56.3s,29.35,0.30,-0.29,6.120,0.020,VT,0.780,0.020,BVT-Red,G8V,3.030,0.110,B-V
HIP 114996,HIP 114996,HD 219571,GJ 9818,2MASS J23172579-5814087,1,1,0,0,0,0,0,23h17m25.81s,-58d14m09.3s,23.06,0.23,-0.23,3.990,0.020,VT,0.410,0.010,G,F3IV/V,11.420,0.070,V-K
HIP 116085,HIP 116085,HD 221354,GJ 895.4,2MASS J23312219+5909558,1,0,0,1,0,0,0,23h31m20.95s,+59d09m54.9s,16.93,0.17,-0.17,6.750,0.020,VT,0.840,0.000,G,K2V,0.580,0.040,V-K
HIP 116584,HIP 116584,HD 222107,GJ 9832,2MASS J23373382+4627298,1,1,0,0,0,0,0,23h37m33.71s,+46d27m33.0s,26.41,0.27,-0.26,3.850,0.020,VT,0.990,0.020,BVT-Red,G8III-IV,25.570,0.060,V-K
gam Cep,HIP 116727,HD 222404,GJ 903,2MASS J23392083+7737563,1,1,1,0,0,1,1,23h39m20.98s,+77d37m55.1s,14.10,0.14,-0.14,3.210,0.010,G,1.030,0.010,G,K1IV,11.840,0.100,V-K
